ID,Label,x,y,nodeid
165,,704878.4549056184,2088026.2790750507,165
170,,701477.4234456994,2087999.5309413038,170
171,,708006.7511465976,2088311.234531777,171
172,,709048.3523186783,2088546.4857835174,172
173,,710851.0293972818,2088569.5719086453,173
177,,703773.5824671721,2088564.924295254,177
178,,704500.0308364426,2088561.8279091492,178
179,,718112.8347179429,2085941.2527515776,179
180,,716235.4350848268,2088735.685227951,180
181,,701545.3821886652,2088594.7683972977,181
184,,701408.56370946,2088594.5712306947,184
188,,701362.7657978889,2088594.838919282,188
191,,701284.9912135624,2088596.2861623596,191
197,,716188.8588058458,2088774.0610276498,197
198,,718083.1673883966,2085941.2276783157,198
199,,706090.9520855688,2088664.7324921023,199
201,,704494.7463169539,2088679.1963494401,201
203,,704869.9695602062,2088697.8449015636,203
207,,706013.2461007176,2088727.9830721505,207
212,,716147.0975107657,2088953.041099865,212
213,,716050.0508063367,2088957.4227056485,213
216,,715607.1744660703,2089102.012950845,216
218,,715981.7608249916,2089183.285485752,218
219,,715956.4286973184,2089183.4361845423,219
226,,701249.5740884963,2089142.9442975502,226
229,,701203.914635874,2089364.8044783175,229
234,,715722.0064807173,2089639.1655555218,234
235,,715864.1995633884,2089455.2292413544,235
237,,718760.4523731793,2089677.4810540546,237
239,,715666.3747418623,2089695.1363352668,239
240,,715766.3438277903,2089458.4840191342,240
244,,715487.5555744439,2090033.3109915014,244
245,,718416.8602126045,2090172.1029646583,245
250,,715361.4951849257,2090280.35120737,250
252,,715127.6975521394,2090622.5918536037,252
253,,715267.2592185176,2090435.655810969,253
256,,701137.1158731387,2090644.7721332628,256
257,,714916.2726109514,2090927.294442514,257
260,,701143.0108900275,2090792.3526339103,260
262,,714896.1562481811,2091012.215852717,262
264,,729597.4805692359,2091335.381252529,264
265,,714774.4003120187,2091154.873310158,265
268,,714826.4221105797,2091244.0936287232,268
270,,714602.6141565072,2091489.5743189696,270
272,,714648.8549544711,2091516.1421991698,272
276,,714667.2681953576,2091526.7217181288,276
280,,714704.8979125827,2091548.3494371418,280
282,,705585.2401131595,2091453.459590938,282
283,,705562.1307036921,2091493.6662165448,283
286,,705604.6946499944,2091503.6582436003,286
288,,722154.4625555056,2091914.2179520093,288
290,,726231.984261096,2085951.4746778086,290
292,,714453.4808092879,2092005.076170709,292
293,,714582.3842538972,2091798.390111316,293
296,,701156.8848371474,2091946.3189670425,296
