,OBJECTID,ID,OSM_ID,OSM_NAME,OSM_META,OSM_SOURCE,OSM_TARGET,CLAZZ,FLAGS,SOURCE,TARGET,KM,KMH,COST,REVERSE_CO,X1,Y1,X2,Y2,Shape_Leng,oneway,geometry
25,31502,1876929.0,48923771.0,East Weatherford Street,,82666064.0,82503821.0,15.0,1.0,1524868.0,155448.0,0.0815636,70.0,0.0011652,1000000.0,-97.3321153,32.7574876,-97.3313577,32.7578511,81.6306644614,,"LINESTRING (709426.1477002685 2121568.6178347412, 709458.0719286408 2121587.19273952, 709496.6800132401 2121609.7123147976)"
26,33339,211077.0,10059561.0,West Weatherford Street,,82478338.0,82463129.0,21.0,1.0,173201.0,151243.0,0.0794714,60.0,0.0013245,1000000.0,-97.3374784,32.7549179,-97.33674,32.7552717,79.5369212546,,"LINESTRING (708926.8237084039 2121278.114353478, 708995.5731612046 2121318.1097854953)"
27,34038,212135.0,10060237.0,West 6th Street,,82530586.0,82435537.0,21.0,1.0,173962.0,1723743.0,0.0818871,60.0,0.0013648,1000000.0,-97.3319117,32.7525134,-97.3326714,32.7521472,81.9534665823,,"LINESTRING (709451.3561282983 2121017.2877332717, 709443.4424490767 2121012.6530757286, 709386.1841266984 2120979.1475492567, 709380.6258930137 2120975.8920287807)"
28,47092,2278468.0,331961756.0,West 5th Street,,82435535.0,82530585.0,21.0,1.0,1775762.0,158376.0,0.0811852,60.0,0.0013531,1000000.0,-97.3330937,32.7527708,-97.3323393,32.7531321,81.2527523159,,"LINESTRING (709340.2895029361 2121044.5975449793, 709376.6568348925 2121065.7499040533, 709403.2758946407 2121081.227153873, 709410.5288542856 2121085.444126768)"
29,48291,1953819.0,115075104.0,North Main Street,,1301671780.0,1301671817.0,15.0,1.0,181047.0,1574087.0,0.5309375,70.0,0.0075848,0.0075848,-97.3339318,32.7585793,-97.3367022,32.7627472,530.071366861,B,"LINESTRING (709254.6133709447 2121687.7755966354, 708989.9358272544 2122147.037452042)"
30,50187,1953811.0,115075082.0,West 5th Street,,82654046.0,82484588.0,21.0,1.0,1574081.0,161860.0,0.084777,60.0,0.001413,1000000.0,-97.3315273,32.7535214,-97.3307396,32.7538988,84.8470908462,,"LINESTRING (709486.129965516 2121129.4558950216, 709491.3903477766 2121132.5196432695, 709550.576789861 2121166.9565911405, 709559.4682940478 2121172.1234241035)"
31,53774,1953807.0,115075072.0,Houston Street,,82654046.0,82654047.0,31.0,3.0,1574081.0,1574082.0,0.0793542,40.0,0.0019839,1000000.0,-97.3315273,32.7535214,-97.3311094,32.7529003,79.2257878453,,"LINESTRING (709486.129965516 2121129.4558950216, 709489.9606724756 2121122.88920567, 709521.7624410752 2121068.3725099247, 709526.0516970799 2121061.0235870443)"
32,55273,1876931.0,48923771.0,East Weatherford Street,,82529591.0,82631125.0,15.0,1.0,185075.0,168673.0,0.0773757,70.0,0.0011054,1000000.0,-97.3306261,32.758222,-97.3299182,32.7585823,77.4311237232,,"LINESTRING (709564.7666462043 2121651.600701088, 709630.6453314488 2121692.2894925606)"
33,66523,1876930.0,48923771.0,East Weatherford Street,,82503821.0,82529591.0,15.0,1.0,155448.0,185075.0,0.0798823,70.0,0.0011412,1000000.0,-97.3313577,32.7578511,-97.3306261,32.758222,79.9401431974,,"LINESTRING (709496.6800132401 2121609.7123147976, 709564.7666462043 2121651.600701088)"
34,66556,2560455.0,603518004.0,Commerce Street,,82446431.0,82566090.0,31.0,3.0,1899875.0,161861.0,0.0789099,40.0,0.0019727,0.0019727,-97.3295338,32.7536599,-97.3299471,32.7542786,78.7816140329,B,"LINESTRING (709672.7412227809 2121146.8922194317, 709668.0594640372 2121154.979698371, 709636.9311520274 2121208.716082085, 709633.2527603421 2121215.0626232084)"
35,81308,2540711.0,589744792.0,East Belknap Street,,82463017.0,82463016.0,15.0,1.0,1956686.0,185076.0,0.0798764,70.0,0.0011411,1000000.0,-97.3303371,32.7592475,-97.3310793,32.7588919,79.9424009507,,"LINESTRING (709590.5771946817 2121765.610194456, 709521.4794770991 2121725.407049123)"
36,86067,2278404.0,331961737.0,Commerce Street,,82679259.0,82725577.0,15.0,1.0,178964.0,181046.0,0.072977,70.0,0.0010425,1000000.0,-97.3331671,32.7584169,-97.3338915,32.7585207,73.0747546891,,"LINESTRING (709326.4584210445 2121670.5641180743, 709300.5843368932 2121664.0777648985, 709290.6457444959 2121664.632769216, 709287.4479521336 2121665.7062049843, 709282.2777336832 2121667.201318944, 709270.9182352499 2121674.205704456, 709258.4612208077 2121681.31990353)"
37,89295,2521593.0,566641092.0,Calhoun Street,,82503821.0,82478615.0,31.0,3.0,155448.0,1944593.0,0.0855299,40.0,0.0021382,1000000.0,-97.3313577,32.7578511,-97.3309244,32.7571737,85.3848306909,,"LINESTRING (709496.6800132401 2121609.7123147976, 709538.1122718172 2121535.053509146)"
38,96373,2560717.0,603518141.0,North Houston Street,,82579255.0,2405327479.0,15.0,1.0,1775750.0,1899876.0,0.0095418,70.0,0.0001363,1000000.0,-97.3341615,32.7574144,-97.3341035,32.7573438,9.53000967908,,"LINESTRING (709234.5261611538 2121558.3718880136, 709240.0471566058 2121550.604025135)"
39,99599,2278467.0,331961756.0,West 5th Street,,82462848.0,82435535.0,21.0,1.0,1775761.0,1775762.0,0.0804414,60.0,0.0013407,1000000.0,-97.3338409,32.7524124,-97.3330937,32.7527708,80.5075148128,,"LINESTRING (709270.7206186586 2121004.0805080477, 709340.2895029361 2121044.5975449793)"
40,105966,2521590.0,566641083.0,Jones Street,,82446435.0,82529599.0,31.0,3.0,150533.0,1944590.0,0.0798196,40.0,0.0019955,1000000.0,-97.3280509,32.7543765,-97.3284503,32.7550109,79.6821556464,,"LINESTRING (709810.7958878793 2121227.8982784804, 709772.5897096432 2121297.8234804682)"
41,109287,2521591.0,566641083.0,Jones Street,,82529599.0,82496905.0,31.0,3.0,1944590.0,1944591.0,0.0781017,40.0,0.0019525,1000000.0,-97.3284503,32.7550109,-97.3288635,32.7556213,77.9768616089,,"LINESTRING (709772.5897096432 2121297.8234804682, 709753.1253015583 2121330.7527408116, 709733.1207627554 2121365.0732858777)"
